CMDLINE python stereo3d_with_matrix.py --matrix_path D:\stereo3d_data\demo\Drosophila_melanogaster_demo\00.gem --tissue_mask D:\stereo3d_data\demo\Drosophila_melanogaster_demo\00.mask --record_sheet D:\stereo3d_data\demo\Drosophila_melanogaster_demo\E-ST20220923002_slice_records_E14_16.xlsx --output D:\stereo3d_data\demo\Drosophila_melanogaster_demo\result_speed_test
MEM 2.500000 1764644177.6499
MEM 25.601562 1764644177.7647
MEM 27.464844 1764644177.8742
MEM 31.035156 1764644177.9816
MEM 35.011719 1764644178.0915
MEM 36.781250 1764644178.2000
MEM 36.781250 1764644178.3090
MEM 38.742188 1764644178.4183
MEM 38.812500 1764644178.5281
MEM 41.859375 1764644178.6369
MEM 41.859375 1764644178.7461
MEM 41.859375 1764644178.8556
MEM 41.859375 1764644178.9639
MEM 41.859375 1764644179.0722
MEM 41.859375 1764644179.1813
MEM 41.859375 1764644179.2893
MEM 41.859375 1764644179.3972
MEM 42.925781 1764644179.5058
MEM 45.714844 1764644179.6149
MEM 46.937500 1764644179.7254
MEM 49.433594 1764644179.8335
MEM 53.566406 1764644179.9435
MEM 56.960938 1764644180.0521
MEM 60.253906 1764644180.1625
MEM 62.332031 1764644180.2705
MEM 66.785156 1764644180.3782
MEM 72.851562 1764644180.4879
MEM 76.457031 1764644180.5970
MEM 77.773438 1764644180.7050
MEM 78.226562 1764644180.8144
MEM 79.726562 1764644180.9233
MEM 81.269531 1764644181.0310
MEM 81.417969 1764644181.1399
MEM 84.535156 1764644181.2484
MEM 91.121094 1764644181.3575
MEM 91.886719 1764644181.4655
MEM 90.925781 1764644181.5742
MEM 87.542969 1764644181.6831
MEM 109.824219 1764644181.7912
MEM 115.484375 1764644181.9006
MEM 110.585938 1764644182.0090
MEM 96.558594 1764644182.1181
MEM 101.898438 1764644182.2264
MEM 102.570312 1764644182.3349
MEM 104.386719 1764644182.4429
MEM 103.207031 1764644182.5522
MEM 95.066406 1764644182.6606
MEM 99.339844 1764644182.7696
MEM 119.160156 1764644182.8794
MEM 117.082031 1764644182.9878
MEM 117.082031 1764644183.0963
MEM 117.082031 1764644183.2057
MEM 101.238281 1764644183.3137
MEM 123.304688 1764644183.4234
MEM 124.292969 1764644183.5321
MEM 124.503906 1764644183.6405
MEM 124.503906 1764644183.7492
MEM 122.000000 1764644183.8588
MEM 124.722656 1764644183.9668
MEM 128.550781 1764644184.0758
MEM 128.550781 1764644184.1838
MEM 128.550781 1764644184.2930
MEM 127.988281 1764644184.4013
MEM 128.503906 1764644184.5109
MEM 103.042969 1764644184.6194
MEM 125.203125 1764644184.7284
MEM 168.007812 1764644184.8371
MEM 141.953125 1764644184.9460
MEM 142.964844 1764644185.0540
MEM 143.003906 1764644185.1611
MEM 144.335938 1764644185.2706
MEM 144.468750 1764644185.3807
MEM 144.468750 1764644185.4892
MEM 144.468750 1764644185.5983
MEM 144.464844 1764644185.7067
MEM 129.199219 1764644185.8159
MEM 125.742188 1764644185.9256
MEM 143.093750 1764644186.0355
MEM 143.406250 1764644186.1434
MEM 143.976562 1764644186.2531
MEM 144.183594 1764644186.3608
MEM 144.183594 1764644186.4696
MEM 142.800781 1764644186.5777
MEM 143.386719 1764644186.6874
MEM 144.183594 1764644186.7954
MEM 144.183594 1764644186.9044
MEM 109.097656 1764644187.0144
MEM 131.117188 1764644187.1224
MEM 139.156250 1764644187.2318
MEM 139.156250 1764644187.3402
MEM 139.156250 1764644187.4492
MEM 137.214844 1764644187.5576
MEM 138.027344 1764644187.6666
MEM 138.640625 1764644187.7746
MEM 139.156250 1764644187.8847
MEM 104.500000 1764644187.9927
MEM 131.531250 1764644188.1024
MEM 133.699219 1764644188.2127
MEM 133.722656 1764644188.3207
MEM 133.722656 1764644188.4299
MEM 131.718750 1764644188.5379
MEM 132.222656 1764644188.6469
MEM 132.628906 1764644188.7551
MEM 109.375000 1764644188.8636
MEM 109.375000 1764644188.9740
MEM 109.375000 1764644189.0836
MEM 126.308594 1764644189.1934
MEM 138.527344 1764644189.3029
MEM 136.523438 1764644189.4119
MEM 137.296875 1764644189.5209
MEM 138.031250 1764644189.6289
MEM 138.527344 1764644189.7382
MEM 138.527344 1764644189.8464
MEM 136.523438 1764644189.9559
MEM 104.800781 1764644190.0644
MEM 128.742188 1764644190.1741
MEM 189.609375 1764644190.2824
MEM 142.339844 1764644190.3904
MEM 142.984375 1764644190.4994
MEM 142.980469 1764644190.6084
MEM 142.980469 1764644190.7159
MEM 140.976562 1764644190.8249
MEM 140.976562 1764644190.9339
MEM 141.542969 1764644191.0430
MEM 141.812500 1764644191.1517
MEM 116.910156 1764644191.2607
MEM 133.820312 1764644191.3697
MEM 150.468750 1764644191.4807
MEM 148.546875 1764644191.5903
MEM 149.484375 1764644191.6988
MEM 150.363281 1764644191.8067
MEM 150.695312 1764644191.9157
MEM 150.695312 1764644192.0247
MEM 150.695312 1764644192.1336
MEM 148.464844 1764644192.2432
MEM 148.464844 1764644192.3505
MEM 148.871094 1764644192.4595
MEM 104.644531 1764644192.5682
MEM 129.433594 1764644192.6773
MEM 144.500000 1764644192.7861
MEM 144.500000 1764644192.8951
MEM 144.500000 1764644193.0031
MEM 144.500000 1764644193.1111
MEM 144.500000 1764644193.2201
MEM 142.496094 1764644193.3291
MEM 142.683594 1764644193.4371
MEM 143.285156 1764644193.5461
